WutFaceW	-1.70000	0.47140	[-1, -2, -2]
peepoShrug	0.00000	0.00000	[0, 0, 0]
widepeepoHigh	0.30000	0.47140	[0, 1, 0]
RNGplz	0.00000	0.00000	[0, 0, 0]
CosmicBrain	2.70000	0.47140	[2, 3, 3]
SHEESH	2.70000	0.47140	[3, 3, 2]
catOK	0.00000	0.00000	[0, 0, 0]
GoodMemes	1.00000	0.00000	[1, 1, 1]
WideHarder	-0.30000	0.94281	[1, -1, -1]
dogeKek	2.30000	0.47140	[3, 2, 2]
Catgasm	0.30000	0.94281	[-1, 1, 1]
YuuBooty	0.00000	0.00000	[0, 0, 0]
AYAYAHyper	2.30000	0.47140	[3, 2, 2]
PepeSuspicious	-1.00000	0.00000	[-1, -1, -1]
pepoHmm	0.00000	0.00000	[0, 0, 0]
BOOMER	-2.00000	0.00000	[-2, -2, -2]
Okayeg	-1.00000	0.00000	[-1, -1, -1]
KannaPolice	0.00000	0.00000	[0, 0, 0]
Clueless	-1.00000	0.00000	[-1, -1, -1]
peepoPooPoo	-0.30000	0.47140	[0, -1, 0]
peepoKnife	-1.00000	0.00000	[-1, -1, -1]
ricardoFlick	0.70000	0.94281	[0, 2, 0]
4Heed	-0.70000	0.47140	[0, -1, -1]
VaN	0.00000	0.00000	[0, 0, 0]
AYAYAWeird	-2.00000	0.00000	[-2, -2, -2]
TrollDespair	-3.00000	0.81650	[-4, -3, -2]
FeelsSexMan	0.70000	0.47140	[0, 1, 1]
SmugPepe	2.00000	0.00000	[2, 2, 2]
NiceHost	-1.00000	0.00000	[-1, -1, -1]
KermitENOUGH	-1.70000	0.47140	[-1, -2, -2]
BASED	3.00000	0.00000	[3, 3, 3]
PepeLa	1.00000	0.00000	[1, 1, 1]
AmaRekt	-1.30000	0.47140	[-2, -1, -1]
FeelsDonkMan	0.00000	0.00000	[0, 0, 0]
peepoRiot	-2.00000	0.00000	[-2, -2, -2]
peepoSIMP	-2.30000	0.47140	[-2, -3, -2]
forsenScoots	0.00000	0.00000	[0, 0, 0]
OOF	-0.30000	0.94281	[1, -1, -1]
monkaLaugh	-1.00000	0.00000	[-1, -1, -1]
widepeepoFat	1.00000	0.00000	[1, 1, 1]
peepoG	0.70000	0.47140	[0, 1, 1]
ppL	0.30000	0.47140	[0, 1, 0]
pepeL	0.30000	0.47140	[0, 1, 0]
Daijoubu	1.30000	1.24722	[3, 1, 0]
PeepoFinger	-1.00000	0.00000	[-1, -1, -1]
Weirdge	-2.00000	0.00000	[-2, -2, -2]
monakS	-2.00000	0.00000	[-2, -2, -2]
peepoExit	-2.00000	0.00000	[-2, -2, -2]
Hmmm	-1.00000	0.00000	[-1, -1, -1]
catJAM	3.00000	0.00000	[3, 3, 3]
Kermitpls	0.70000	0.47140	[0, 1, 1]
BOGGED	-0.30000	0.47140	[0, -1, 0]
GAMEOVER	-0.70000	0.47140	[0, -1, -1]
REEEEE	-1.70000	0.47140	[-1, -2, -2]
HEYYEYAAEYAAAEYAEYAA	2.00000	0.00000	[2, 2, 2]
ILuvU	1.70000	0.47140	[1, 2, 2]
YeahBoi	2.00000	0.00000	[2, 2, 2]
FeelsRageMan	-4.00000	0.00000	[-4, -4, -4]
GoodNight	0.70000	0.47140	[0, 1, 1]
LETSGO	4.00000	0.00000	[4, 4, 4]
haHAA	-1.00000	0.81650	[0, -1, -2]
pOg	2.70000	0.47140	[3, 3, 2]
pepoRope	-3.70000	0.47140	[-3, -4, -4]
COGGERS	2.30000	0.94281	[1, 3, 3]
CirnoBaka	-0.70000	0.47140	[0, -1, -1]
WTFgurl	-2.30000	0.47140	[-3, -2, -2]
KEKLEO	0.70000	0.47140	[0, 1, 1]
pepeW	-1.70000	0.47140	[-2, -2, -1]
peepoCheer	3.00000	0.00000	[3, 3, 3]
rageW	-3.00000	0.00000	[-3, -3, -3]
peepoKiss	2.00000	0.00000	[2, 2, 2]
MegaLUL	2.70000	0.47140	[3, 3, 2]
peepoDetective	0.00000	0.00000	[0, 0, 0]
PogU	1.70000	0.47140	[1, 2, 2]
TooGood	3.00000	0.81650	[4, 3, 2]
Gladge	2.70000	0.94281	[4, 2, 2]
KeK	1.70000	0.47140	[1, 2, 2]
Gigachad	3.00000	0.00000	[3, 3, 3]
monkaO	-1.30000	0.47140	[-2, -1, -1]
KermitTea	1.30000	0.94281	[0, 2, 2]
peepoChrist	-2.30000	0.47140	[-3, -2, -2]
OMEGALULEatingAnEggplant	0.70000	0.47140	[0, 1, 1]
xbn	-1.00000	0.00000	[-1, -1, -1]
NickyQ	-0.70000	0.47140	[0, -1, -1]
PepeLove	3.00000	0.00000	[3, 3, 3]
PepoRage	-3.00000	0.00000	[-3, -3, -3]
peepoHey	2.00000	0.00000	[2, 2, 2]
Ohno	-1.70000	0.47140	[-1, -2, -2]
monkaThink	-1.00000	0.00000	[-1, -1, -1]
KKoooona	0.00000	0.00000	[0, 0, 0]
DIDSOMEONESAYCOCK	0.70000	0.47140	[0, 1, 1]
HeyPal	0.70000	1.24722	[-1, 2, 1]
WoweeW	2.30000	0.47140	[2, 3, 2]
NepYay	3.00000	0.00000	[3, 3, 3]
arnoldHalt	-0.70000	0.47140	[0, -1, -1]
BibleBag	-1.30000	0.47140	[-1, -2, -1]
PepeThink	-0.30000	0.47140	[0, 0, -1]
UHM	-1.00000	0.00000	[-1, -1, -1]
peepoHurt	-2.70000	0.47140	[-2, -3, -3]
Floshed	-0.70000	1.24722	[1, -2, -1]
JustRight	2.00000	0.00000	[2, 2, 2]
NOOOO	-4.00000	0.00000	[-4, -4, -4]
FeelsOldMan	-2.00000	0.00000	[-2, -2, -2]
TeeHee	1.00000	0.00000	[1, 1, 1]
WeirdDude	-1.00000	0.00000	[-1, -1, -1]
peepoAwesome	2.70000	0.94281	[4, 2, 2]
POI	0.70000	0.47140	[1, 1, 0]
Kissahomie	1.30000	0.94281	[0, 2, 2]
shrugFace	0.00000	0.00000	[0, 0, 0]
LOLW	1.00000	0.00000	[1, 1, 1]
UhOh	-1.70000	0.47140	[-1, -2, -2]
BadSpeedrun	-2.30000	1.24722	[-4, -2, -1]
Sadeg	-2.30000	0.47140	[-3, -2, -2]
PepeScoots	-1.70000	0.47140	[-2, -2, -1]
Pepeg	-1.70000	1.88562	[1, -3, -3]
GoodMorning	0.70000	0.47140	[0, 1, 1]
ICANT	1.00000	0.00000	[1, 1, 1]
Pogplant	1.30000	0.94281	[0, 2, 2]
PepeMods	-1.70000	0.47140	[-2, -2, -1]
LennyFace	0.70000	0.47140	[0, 1, 1]
noxSorry	-0.70000	0.47140	[0, -1, -1]
KermitComfy	0.30000	0.94281	[-1, 1, 1]
peepoCute	2.00000	0.00000	[2, 2, 2]
Kappa_420	1.00000	0.00000	[1, 1, 1]
PepeChill	0.70000	0.47140	[0, 1, 1]
RoWOW	2.00000	0.00000	[2, 2, 2]
FeelsSadMan	-3.70000	0.47140	[-3, -4, -4]
Krappa	0.00000	0.00000	[0, 0, 0]
WeebsOut	0.00000	0.00000	[0, 0, 0]
NOPE	-2.00000	0.00000	[-2, -2, -2]
pepeD	0.00000	0.00000	[0, 0, 0]
FeelsGladMan	3.00000	0.00000	[3, 3, 3]
ButtBooty	0.00000	0.00000	[0, 0, 0]
OMEGASP	-2.70000	0.47140	[-3, -3, -2]
peepoNotes	0.70000	0.47140	[0, 1, 1]
MeguminHappy	3.30000	0.47140	[4, 3, 3]
THICC	2.00000	0.00000	[2, 2, 2]
NaM	0.00000	0.00000	[0, 0, 0]
NyanPasu	1.00000	0.00000	[1, 1, 1]
peepoS	-1.00000	0.00000	[-1, -1, -1]
ThinkingFaceEmoji	0.30000	0.47140	[0, 1, 0]
AndKnuckles	0.00000	0.00000	[0, 0, 0]
DontBully	0.00000	0.00000	[0, 0, 0]
MOIST	0.00000	0.00000	[0, 0, 0]
4WeirdBuff	-0.70000	0.47140	[0, -1, -1]
peepoNo	-1.30000	0.47140	[-1, -2, -1]
Starege	0.00000	0.00000	[0, 0, 0]
mericCat	-2.00000	0.00000	[-2, -2, -2]
DesuOP	-0.70000	0.47140	[0, -1, -1]
monkaSSS	-2.30000	0.94281	[-1, -3, -3]
LickMe	0.30000	0.47140	[0, 1, 0]
widepeepoClown	-1.00000	0.00000	[-1, -1, -1]
KEKYou	-1.30000	0.47140	[-1, -2, -1]
peepoYes	1.00000	0.00000	[1, 1, 1]
peepoFriendship	3.00000	0.00000	[3, 3, 3]
peepoCry	-3.30000	0.47140	[-4, -3, -3]
CatHiss	-2.00000	0.00000	[-2, -2, -2]
PassTheBleach	-2.00000	0.00000	[-2, -2, -2]
WanWan	1.00000	0.00000	[1, 1, 1]
HYPEtime	2.70000	0.47140	[3, 3, 2]
ABABABABA	1.00000	0.00000	[1, 1, 1]
PeepoStop	-1.00000	0.00000	[-1, -1, -1]
noxWhat	0.30000	0.47140	[0, 1, 0]
KannaWave	0.70000	0.47140	[0, 1, 1]
MutedMic	0.00000	0.00000	[0, 0, 0]
Booba	1.30000	0.47140	[1, 2, 1]
peepoRun	0.00000	0.00000	[0, 0, 0]
KKrikey	0.00000	0.00000	[0, 0, 0]
OpieOShaq	0.70000	0.47140	[0, 1, 1]
PepePoint	-1.00000	0.00000	[-1, -1, -1]
TriEasy	-0.30000	0.47140	[0, 0, -1]
gachiPRIDE	1.30000	0.94281	[0, 2, 2]
PepegaBlind	-1.30000	0.94281	[0, -2, -2]
monkaStare	-0.70000	0.47140	[0, -1, -1]
2Header	-2.00000	1.41421	[0, -3, -3]
NeverGiveUp	3.00000	0.00000	[3, 3, 3]
HYPERDANSGAMEW	-3.00000	1.41421	[-1, -4, -4]
peepoFlower	3.00000	0.00000	[3, 3, 3]
peepoRage	-4.00000	0.00000	[-4, -4, -4]
Magoo	0.00000	0.00000	[0, 0, 0]
NANI!	0.00000	0.00000	[0, 0, 0]
PoiPoi	0.00000	0.00000	[0, 0, 0]
smileW	3.00000	0.00000	[3, 3, 3]
+2	2.00000	0.00000	[2, 2, 2]
-2	-2.00000	0.00000	[-2, -2, -2]
W	4.00000	0.00000	[4, 4, 4]
w	4.00000	0.00000	[4, 4, 4]
www	4.00000	0.00000	[4, 4, 4]
WWW	4.00000	0.00000	[4, 4, 4]
wwwww	4.00000	0.00000	[4, 4, 4]
WWWWW	4.00000	0.00000	[4, 4, 4]
